epoch,accuracy,loss,val_accuracy,val_loss
0,0.36756157875061035,1.336782693862915,0.4639769494533539,1.283603310585022
1,0.6277331709861755,1.0139604806900024,0.6426513195037842,0.9631446003913879
2,0.7794076800346375,0.6076021194458008,0.6829971075057983,0.8077427744865417
3,0.8430666923522949,0.427674800157547,0.7118155360221863,0.7782425880432129
4,0.8870744705200195,0.33096176385879517,0.680115282535553,0.8160390853881836
5,0.9100470542907715,0.2688051760196686,0.6916426420211792,0.861078679561615
6,0.9302518963813782,0.22213490307331085,0.680115282535553,0.9639939069747925
7,0.9404926896095276,0.18507030606269836,0.6628242135047913,0.9798151254653931
8,0.9537780284881592,0.15165260434150696,0.6714697480201721,1.0762336254119873
9,0.9637420177459717,0.13141679763793945,0.6685879230499268,1.1127835512161255
10,0.9656794667243958,0.11656395345926285,0.6484149694442749,1.2284400463104248
11,0.9678937196731567,0.11506246775388718,0.6599423885345459,1.2259546518325806
12,0.9712150692939758,0.09683126956224442,0.6657060384750366,1.2385386228561401
13,0.973429262638092,0.09263665229082108,0.6628242135047913,1.3072891235351562
14,0.972045361995697,0.08774521946907043,0.6570605039596558,1.3738645315170288
15,0.973706066608429,0.08175351470708847,0.6657060384750366,1.402594804763794
16,0.975643515586853,0.07826563715934753,0.6829971075057983,1.382134199142456
17,0.9778577089309692,0.07390794903039932,0.6541786789894104,1.515998363494873
18,0.974259614944458,0.0776427835226059,0.651296854019165,1.525352120399475
19,0.9784113168716431,0.06535469740629196,0.6657060384750366,1.485680103302002
20,0.975643515586853,0.07160082459449768,0.6657060384750366,1.5436561107635498
21,0.977027416229248,0.07342217862606049,0.6657060384750366,1.5346808433532715
22,0.9775809645652771,0.0650755986571312,0.680115282535553,1.5153098106384277
23,0.9767506122589111,0.06473518908023834,0.6772334575653076,1.568166971206665
24,0.9778577089309692,0.06461133807897568,0.6570605039596558,1.5914084911346436
